Bracket	Word-1	Word-2	Bracket	Frequency
the	night	sky	.	86005
the	night	sky	,	47438
with	olive	oil	and	36436
and	ice	cream	.	36153
and	olive	oil	.	32762
with	olive	oil	,	28481
with	olive	oil	.	23595
a	rose	garden	,	20727
the	olive	oil	,	15666
the	olive	oil	.	15315
and	ice	cream	,	14838
the	ice	cream	.	14124
a	microwave	oven	.	13775
and	olive	oil	,	13073
a	microwave	oven	,	12688
a	pear	tree	.	11579
with	parchment	paper	.	11490
with	ice	cream	.	11094
the	ice	cream	,	10429
the	summer	sun	.	10022
the	sun	rose	,	9404
with	cream	cheese	and	9242
with	cream	cheese	,	9102
a	mushroom	cloud	.	9092
and	cream	cheese	.	8642
a	forest	fire	.	8190
with	ice	cream	and	7940
some	ice	cream	.	7729
the	cream	cheese	,	7244
with	ice	cream	,	7206
the	forest	canopy	.	7031
and	cheddar	cheese	.	6964
and	microwave	oven	.	6902
the	microwave	oven	.	6573
a	snow	storm	.	6511
a	forest	fire	,	6003
with	gold	leaf	.	5920
and	toilet	paper	.	5871
and	parmesan	cheese	.	5850
the	summer	sun	,	5504
the	midnight	sun	.	5490
and	cream	cheese	,	5421
with	cream	cheese	.	5344
a	pine	tree	.	5191
with	wax	paper	.	5144
the	rose	garden	.	5053
the	sun	rose	.	5032
the	toilet	paper	.	4841
the	olive	tree	,	4681
a	gold	star	.	4669
a	paper	tiger	.	4567
the	forest	canopy	,	4495
the	ice	sheet	.	4459
the	midnight	sun	,	4236
the	apple	tree	.	4124
a	rose	garden	.	4066
a	snow	storm	,	3974
with	parmesan	cheese	.	3952
a	winter	storm	.	3943
the	tree	canopy	.	3926
with	cheddar	cheese	and	3866
the	mouse	brain	.	3849
some	ice	cream	,	3828
with	cheddar	cheese	,	3643
a	grizzly	bear	.	3562
the	ice	storm	,	3561
a	grizzly	bear	,	3553
and	cheddar	cheese	,	3477
the	eye	candy	.	3476
with	wood	wool	and	3448
the	apple	tree	,	3433
and	tobacco	smoke	.	3345
a	pine	tree	,	3311
a	wood	fire	.	3299
a	pine	forest	.	3241
the	microwave	oven	,	3235
the	ice	sheet	,	3220
the	desert	sun	.	3216
and	potato	salad	.	3198
a	summer	night	.	3172
the	midnight	oil	.	3165
the	toilet	paper	,	3126
a	charcoal	grill	,	3002
the	midnight	oil	,	2964
the	ice	storm	.	2888
the	rose	garden	,	2887
a	baby	leek	,	2870
a	summer	night	,	2842
a	pine	forest	,	2820
the	grizzly	bear	,	2814
the	cream	cheese	.	2805
and	garlic	salt	.	2788
and	blood	sugar	.	2707
with	microwave	oven	,	2704
the	olive	tree	.	2694
the	honey	bee	.	2684
the	cherry	tree	.	2636
the	honey	bee	,	2628
a	winter	storm	,	2593
the	grizzly	bear	.	2581
the	coffee	bean	.	2580
a	mushroom	cloud	,	2572
with	wax	paper	and	2516
a	wood	fire	,	2397
with	parmesan	cheese	and	2392
a	charcoal	grill	.	2328
and	ginger	ale	.	2317
with	parchment	paper	and	2308
the	summer	sky	.	2282
the	concrete	jungle	.	2229
a	paper	tiger	,	2208
and	gold	leaf	.	2195
a	chocolate	milkshake	.	2175
with	cheddar	cheese	.	2170
with	toilet	paper	.	2160
the	cherry	tree	,	2152
and	cocoa	butter	.	2145
some	olive	oil	,	2129
the	autumn	sun	.	2128
the	pine	forest	.	2113
and	soybean	oil	.	2108
the	winter	sun	.	2104
and	milk	chocolate	.	2095
the	ass	ass	.	2084
and	toilet	paper	,	2059
the	eye	candy	,	2055
the	blood	sugar	.	2047
the	desert	sand	.	2041
a	cedar	tree	,	2032
and	microwave	oven	,	2004
a	cherry	tree	.	1998
the	summer	sky	,	1988
a	willow	tree	.	1973
the	pine	tree	,	1940
the	tree	canopy	,	1935
with	garlic	butter	and	1908
a	concrete	jungle	,	1900
a	summer	cloud	,	1898
with	gold	leaf	,	1889
the	cloud	forest	.	1886
and	lemon	grass	.	1886
the	wax	paper	.	1883
the	azure	sky	,	1880
with	steel	wool	.	1880
a	chimney	fire	.	1878
a	champagne	toast	.	1875
a	pear	tree	,	1857
with	toilet	paper	,	1851
a	dust	storm	.	1847
and	cotton	candy	.	1825
with	lemon	grass	,	1808
the	willow	tree	.	1804
a	winter	night	.	1793
and	chocolate	milk	.	1784
with	parchment	paper	,	1771
the	moon	rose	,	1763
the	rocket	summer	,	1761
a	winter	night	,	1734
and	parmesan	cheese	,	1704
with	garlic	butter	,	1692
the	winter	sky	.	1687
the	pine	tree	.	1685
the	winter	garden	.	1681
the	winter	sky	,	1677
some	olive	oil	.	1660
with	satin	ribbon	and	1652
the	midnight	sky	.	1628
the	cedar	wood	,	1610
the	spam	crap	.	1607
the	desert	sun	,	1602
the	midnight	sky	,	1598
the	pine	forest	,	1589
with	wax	paper	,	1578
with	cinnamon	sugar	.	1543
and	potato	salad	,	1530
with	parmesan	cheese	,	1528
and	corn	oil	.	1489
with	gold	leaf	and	1486
and	rose	gold	.	1480
a	gold	star	,	1474
with	satin	ribbon	.	1468
the	cloud	forest	,	1460
a	night	sky	.	1456
with	toilet	paper	and	1449
a	cherry	tree	,	1446
with	ginger	ale	.	1446
with	baby	oil	.	1439
the	desert	sand	,	1425
a	willow	tree	,	1410
a	lettuce	leaf	.	1404
the	summer	night	,	1402
a	charcoal	fire	.	1390
a	satin	ribbon	.	1378
the	potato	salad	.	1372
a	banana	leaf	.	1359
the	summer	night	.	1356
with	baby	spinach	,	1345
the	winter	snow	.	1334
a	dust	storm	,	1330
the	snow	storm	.	1330
a	sapphire	stone	,	1311
the	winter	sun	,	1301
with	garlic	salt	and	1300
a	concrete	jungle	.	1279
with	cotton	wool	.	1276
and	cedar	wood	,	1265
with	spinach	salad	,	1263
a	champagne	toast	,	1257
the	parchment	paper	.	1248
a	jasper	stone	,	1247
and	rose	gold	,	1236
the	mushroom	cloud	.	1225
a	maple	leaf	.	1217
and	blood	sugar	,	1211
the	willow	tree	,	1194
and	pine	forest	.	1193
and	eye	candy	.	1182
a	maple	tree	.	1178
a	waffle	iron	.	1177
with	garlic	butter	.	1174
and	garlic	toast	.	1168
the	onyx	stone	.	1166
a	summer	storm	.	1154
with	lemon	grass	and	1151
and	oatmeal	raisin	.	1136
with	potato	salad	,	1132
and	peat	moss	.	1115
the	dust	cloud	.	1111
a	charcoal	fire	,	1109
the	maple	tree	.	1104
the	winter	garden	,	1102
with	steel	wool	and	1100
and	bear	grass	.	1091
and	tobacco	smoke	,	1085
a	lemon	tree	.	1078
some	eye	candy	.	1077
the	blood	sugar	,	1075
the	summer	moon	,	1073
a	mango	tree	.	1070
and	corn	starch	.	1069
a	maple	tree	,	1067
with	milk	chocolate	.	1063
some	toilet	paper	.	1062
