Word-1	Word-2	Frequency	Singular
forest	fires	252281	fire
coffee	beans	233148	bean
pine	trees	221076	tree
chili	peppers	220438	pepper
microwave	ovens	183734	oven
olive	trees	167810	tree
garlic	cloves	145478	clove
leather	shoes	144377	shoe
hazel	eyes	134110	eye
tea	leaves	126930	leaf
pine	nuts	113294	nut
pine	forests	106412	forest
leather	boots	100133	boot
grizzly	bears	98977	bear
oil	sands	94279	sand
baby	shoes	93444	shoe
tiger	woods	93240	wood
ice	sheets	89007	sheet
ice	crystals	85160	crystal
winter	nights	84268	night
sandy	soils	81112	soil
coffee	houses	80257	house
ice	creams	79167	cream
apple	trees	78118	tree
honey	bees	73934	bee
cherry	tomatoes	73294	tomato
ass	nipples	71278	nipple
autumn	leaves	69002	leaf
bile	acids	68784	acid
summer	nights	67230	night
winter	storms	65799	storm
sugar	beets	65489	beet
forest	trees	65250	tree
blood	sugars	61812	sugar
storm	clouds	60414	cloud
dust	storms	59454	storm
clay	soils	52771	soil
cherry	trees	52125	tree
cotton	sheets	51906	sheet
mint	leaves	51821	leaf
olive	oils	49383	oil
wine	grapes	47401	grape
maple	trees	44015	tree
lettuce	leaves	43073	leaf
baby	carrots	39576	carrot
winter	boots	39245	boot
cocoa	beans	39157	bean
plum	tomatoes	39112	tomato
tree	nuts	37466	nut
forest	soils	36851	soil
tar	sands	35144	sand
paper	sheets	34370	sheet
spinach	leaves	33763	leaf
gold	stars	33325	star
blackjack	craps	33160	crap
ice	storms	31934	storm
snow	shoes	31804	shoe
steel	sheets	31274	sheet
snow	boots	30973	boot
milk	chocolates	30951	chocolate
stone	houses	30809	house
bile	salts	30370	salt
tree	leaves	30015	leaf
maple	leafs	29701	leaf
dust	clouds	29520	cloud
bark	beetles	29494	beetle
tree	frogs	28727	frog
grape	leaves	28568	leaf
cedar	trees	28455	tree
citrus	trees	28448	tree
spruce	trees	27731	tree
milk	cows	27637	cow
maple	leaves	27287	leaf
acid	soils	26965	soil
dust	bunnies	26554	bunny
banana	leaves	26543	leaf
night	skies	25378	sky
house	barns	25183	barn
ash	trees	25095	tree
tobacco	leaves	24936	leaf
curry	leaves	24818	leaf
banana	pancakes	24737	pancake
snow	storms	24512	storm
willow	trees	24487	tree
brick	houses	24112	house
nut	trees	24065	tree
satin	sheets	23903	sheet
charcoal	grills	23551	grill
saddle	shoes	23301	shoe
beef	cows	23192	cow
chilli	peppers	23144	pepper
foam	pillows	23014	pillow
pine	woods	22725	wood
chestnut	trees	22705	tree
desert	sands	22540	sand
cloud	forests	22088	forest
house	fires	21773	fire
potato	pancakes	21529	pancake
vanilla	beans	21270	bean
banana	trees	21149	tree
ghost	hunters	20564	hunter
salt	crystals	20487	crystal
cabbage	leaves	20442	leaf
eye	shadows	19955	shadow
house	shoes	19756	shoe
pistachio	nuts	19756	nut
dust	devils	19708	devil
grass	fires	19704	fire
rose	gardens	19662	garden
lime	leaves	19286	leaf
ebony	eyes	19018	eye
beech	trees	18216	tree
sage	leaves	18144	leaf
elm	trees	18052	tree
tree	houses	17491	house
pear	trees	17433	tree
espresso	beans	17387	bean
tree	ferns	17371	fern
peach	trees	17303	tree
mushroom	clouds	17244	cloud
royal	houses	17204	house
redwood	trees	17027	tree
smoke	cigars	16956	cigar
walnut	trees	16890	tree
gingerbread	houses	16585	house
tea	gardens	16528	garden
grape	tomatoes	16323	tomato
turf	shoes	16259	shoe
almond	trees	16203	tree
lemon	trees	16062	tree
house	cats	15937	cat
canvas	shoes	15774	shoe
redwood	forests	15772	forest
mourning	doves	15694	dove
leaf	teas	15653	tea
mango	trees	15653	tree
parsley	leaves	15557	leaf
stone	nipples	15420	nipple
tiger	prawns	15177	prawn
coral	gardens	15100	garden
lavender	shadows	15075	shadow
canopy	trees	15062	tree
salmon	steaks	14994	steak
navy	beans	14986	bean
wood	fires	14824	fire
violet	eyes	14764	eye
peach	roses	14280	rose
dung	beetles	14243	beetle
summer	houses	14107	house
pecan	trees	14020	tree
steak	houses	13865	house
silver	stars	13805	star
chocolate	candies	13798	candy
sugar	crystals	13736	crystal
stone	roses	13246	rose
gold	leaves	13211	leaf
plum	trees	13166	tree
silk	trees	13044	tree
soap	stars	12847	star
ice	clouds	12841	cloud
snow	crystals	12769	crystal
winter	snows	12693	snow
spruce	forests	12677	forest
oil	fires	12562	fire
earth	shoes	12367	shoe
emerald	eyes	12336	eye
satin	ribbons	12216	ribbon
ash	clouds	12083	cloud
hunter	beavers	12041	beaver
cat	trees	11904	tree
moon	shoes	11900	shoe
leaf	beetles	11875	beetle
candy	hearts	11873	heart
mud	bricks	11811	brick
beet	beeves	11788	beef
moon	stars	11725	star
clay	bricks	11687	brick
tea	houses	11568	house
salad	leaves	11356	leaf
